id,商品名,slug,カテゴリ,サブカテゴリ,サイズ,価格,ステータス,説明,並び順,画像URL,在庫数,SKU,キャッチコピー,フリガナ,都道府県,市区町村,アレルギー（表示義務）,アレルギー（表示推奨）,アレルギー備考,期限種別,期限日数（日）,保管温度帯,JANコード,ケース入数,ケース入数単位,最小ロット,最小ロット単位,サンプル対応,内容量,商品タグ,対応可能数量（最大）,リードタイム,関連URL,サプライヤーID,大カテゴリ,中カテゴリ,小カテゴリ,商品コンセプト,利用シーン・おすすめ,食品表示画像,最大ロット単位,発注ケースサイズ縦 (cm),発注ケースサイズ横 (cm),発注ケースサイズ高さ (cm),発注ケース重量 (kg),国外輸出可否,販売形態,WEBサイト販売,提供可能時期,バイヤーへのメッセージ,販促ツール,関連商品ID,商品動画URL,販売事業者名,サプライヤーメール,インボイス対応,国名,価格種別,販売単位
771b8609-72af-48c8-85de-ab88d255ccd7,,ビーフシチュー-1,,,,0,archived,,17,,1,SKU-1778544644016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636589e5-c5ee-4d11-8213-6f35293c97b4,うまみだけおおいた和牛極旨まぜごはんの素,うまみだけおおいた和牛極旨まぜごはんの素-1,,,,0,published,,18,https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/636589e5-c5ee-4d11-8213-6f35293c97b4/1778426389749-hif9h9.jpg,2,c664ec86-うまみだけおおいた和牛極旨まぜごはんの素-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4e9aaf37-7001-4ff9-bf57-b52c7c707e49,万能椎茸だし,万能椎茸だし-1,,,,0,published,,19,https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/4e9aaf37-7001-4ff9-bf57-b52c7c707e49/1779026543308-1wh3wr.JPG;https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/4e9aaf37-7001-4ff9-bf57-b52c7c707e49/1779026549513-qit7zw.jpg,2,c664ec86-万能椎茸だし-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7384bb16-1ad0-4b38-a8b8-5154df33dd1d,香ばしいUMAMI椎茸パウダー,香ばしいumami椎茸パウダー-1,,,,0,published,,20,https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/7384bb16-1ad0-4b38-a8b8-5154df33dd1d/1779026298905-7oe7y5.jpeg;https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/7384bb16-1ad0-4b38-a8b8-5154df33dd1d/1779026314269-6exyex.jpg,2,c664ec86-香ばしいumami椎茸パウダー-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869676c2-5501-494b-9b76-3c3bc37c510a,激辛い函館カレー,激辛い函館カレー-1,レトルト・保存食,,,0,published,,21,https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/869676c2-5501-494b-9b76-3c3bc37c510a/1779025575771-ilwwq6.jpeg,2,c664ec86-激辛い函館カレー-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eb40a65e-aede-4db2-acde-638e93be54b9,明治のカレー【函館限定】,明治のカレー-函館限定-1,レトルト・保存食,,,0,published,,22,https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/eb40a65e-aede-4db2-acde-638e93be54b9/1779025467447-5bqto3.jpeg;https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/eb40a65e-aede-4db2-acde-638e93be54b9/1779025480645-0oik7c.jpeg,2,c664ec86-明治のカレー-函館限定-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d42422c6-430d-4b3d-b4c5-5c2b1fe0caa4,,北海道ボルシチ-1,,,,0,archived,,23,,1,SKU-1778544682802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23a493ce-af14-416e-a9c8-f30070c8026a,椎茸と玉ねぎのドレッシング,椎茸と玉ねぎのドレッシング-1,,,,0,published,,24,https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/23a493ce-af14-416e-a9c8-f30070c8026a/1779026637598-uoexj6.jpeg;https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/23a493ce-af14-416e-a9c8-f30070c8026a/1779026643709-8ix024.jpeg,2,c664ec86-椎茸と玉ねぎのドレッシング-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0bf48fb8-2332-4ddc-ade0-a5e09598545f,あいがけカレー,あいがけカレー-1,,,,0,published,,25,,2,c664ec86-あいがけカレー-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e8f7f198-b7ff-41db-8e8a-7c83ce3dac58,函館・挽肉カレー,函館・挽肉カレー-1,,,,0,published,,26,https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/e8f7f198-b7ff-41db-8e8a-7c83ce3dac58/1779022860506-yr5uoq.jpeg,2,c664ec86-函館・挽肉カレー-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dad3d46d-0314-4334-bcf8-d6f7fa8c3898,大分産椎茸のおがずもろみ,大分産椎茸のおがずもろみ-1,,,,0,published,,27,https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/dad3d46d-0314-4334-bcf8-d6f7fa8c3898/1779026390370-lwggfb.JPG;https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/dad3d46d-0314-4334-bcf8-d6f7fa8c3898/1779026468884-r9rgag.png,2,c664ec86-大分産椎茸のおがずもろみ-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874bd9e5-4a6a-445c-86bd-f2b62714a422,究極の函館カレー,究極の函館カレー-1,レトルト・保存食,,,0,published,,28,https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/874bd9e5-4a6a-445c-86bd-f2b62714a422/1779025326675-r0jk1r.jpeg,2,c664ec86-究極の函館カレー-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303e9756-55c2-4d80-a97f-cd847bac3576,函館港町カレー,函館港町カレー-1,,,,0,published,,29,https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/303e9756-55c2-4d80-a97f-cd847bac3576/1779023049946-b1xb8f.jpeg,2,c664ec86-函館港町カレー-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2161440-39be-4a21-a615-dc1c1d5031fb,五島軒ハヤシビーフ,五島軒ハヤシビーフ-1,,,,0,published,,30,,2,c664ec86-五島軒ハヤシビーフ-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0990cde8-657c-4851-9026-56fae5974569,海鮮カレー,海鮮カレー-1,,,,0,published,,31,,2,c664ec86-海鮮カレー-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18e13103-1ba3-46b9-b7d4-91b350386949,おおいた乾しいたけと玉ねぎの無限ソース,おおいた乾しいたけと玉ねぎの無限ソース-1,,,,0,published,,32,,2,c664ec86-おおいた乾しいたけと玉ねぎの無限ソース-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b7712462-474c-42cd-9802-9ff252a41491,函館カレー甘口,函館カレー甘口-1,レトルト・保存食,,,0,published,,33,https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/b7712462-474c-42cd-9802-9ff252a41491/1779022753042-jasad8.jpeg,2,c664ec86-函館カレー甘口-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e58e6ba6-e462-4c67-88e8-058fbc55bc0e,五島軒ビーフカレー,五島軒ビーフカレー-1,,,,0,published,,34,,2,c664ec86-五島軒ビーフカレー-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03c1672f-edd5-4930-b18c-18a45fa6771c,函館カレー辛口,函館カレー辛口-1,,,,0,published,,35,https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/03c1672f-edd5-4930-b18c-18a45fa6771c/1779022933614-coy1of.jpeg,2,c664ec86-函館カレー辛口-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2e0fe4e3-d687-4078-a806-da401d6c5afe,イギリス風カレー,イギリス風カレー-1,,,,0,published,,36,,2,c664ec86-イギリス風カレー-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bec36aed-9904-450b-9a72-d68ebcabe6de,函館カレー中辛,函館カレー中辛-1,レトルト・保存食,,,0,published,,37,https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/bec36aed-9904-450b-9a72-d68ebcabe6de/1779025079172-c0e0o5.jpeg,2,c664ec86-函館カレー中辛-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3a56475a-1a78-4767-b7cb-f9b13992a94f,北海道発酵バターカレー,北海道発酵バターカレー-1,,,,0,published,,38,https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/3a56475a-1a78-4767-b7cb-f9b13992a94f/1778604600462-rqmnls.jpeg;https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/3a56475a-1a78-4767-b7cb-f9b13992a94f/1778604606425-ro81ep.png,2,c664ec86-北海道発酵バターカレー-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65085221-e4ec-47d9-b35f-7e8fc6a4f365,大分県産不揃い40g,大分県産不揃い40g-1,生鮮・一次産品,,,0,published,,39,,2,c664ec86-大分県産不揃い40g-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500f568e-b4a3-4a64-9afd-03b40bc98423,大分県産椎茸袋詰120g,大分県産袋詰120g-1,,,,0,published,,40,https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/500f568e-b4a3-4a64-9afd-03b40bc98423/1778426188691-6ma8rn.jpeg;https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/500f568e-b4a3-4a64-9afd-03b40bc98423/1778426198676-j7qdk7.jpeg,2,c664ec86-大分県産袋詰120g-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04a58e3e-4b3b-4bfd-8750-f7497d320f6c,,豊後大野-カレー-1,,,,0,archived,,41,,1,SKU-1778544652879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ef9ae436-f3f1-449d-8086-f17c42a27cec,,豊後大野カレー-化粧箱無し-1,,,,0,archived,,42,,1,SKU-1778544649381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571fcceb-6c00-411e-84ac-4b644ddf8fed,江田島牡蠣カレー,江田島牡蠣カレー-1,加工食品,,,1000,published,,43,,2,c664ec86-江田島牡蠣カレー-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1b65e268-4358-4b57-89eb-e5b261beb8c4,しまね合鴨カレープレミアム,しまね合鴨カレープレミアム-1,加工食品,,,648,published,,44,,2,c664ec86-しまね合鴨カレープレミアム-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1e68111-e0b1-43f8-85a0-95ee08ac7295,よこすか海軍カレーネイビーブルー(1食),よこすか海軍カレーネイビーブルー-1食-1,加工食品,,,600,published,,45,https://drive.google.com/drive/folders/1JwlEsVjMmjD0oNEb9DFcd2BaMKBAwYOk?usp=drive_link,2,c664ec86-よこすか海軍カレーネイビーブルー-1食-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f2f7799a-a211-42f7-b47d-69d998e8160d,横須賀海自カレー 潜水艦うずしおチキンカレー,横須賀海自カレー-潜水艦うずしおチキンカレー-1,加工食品,,,600,published,,46,https://lh3.googleusercontent.com/d/1Ea1Rx9uD9mF77T6R_VQqLfFm0IpPAXTD=w1600,2,c664ec86-横須賀海自カレー-潜水艦うずしおチキンカレー-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6af4a1d0-3d43-4e51-94c3-35d80549ec7a,横須賀海自カレー 掃海艇えのしまカレー,横須賀海自カレー-掃海艇えのしまカレー-1,加工食品,,,600,published,,47,https://lh3.googleusercontent.com/d/1FzQnnyzk9djp4HQ1MdMmv_NMwRAhhtyx=w1600,2,c664ec86-横須賀海自カレー-掃海艇えのしまカレー-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564cfb6e-8508-4387-a34d-8ea13d9e92ee,ほろ酔いカレー　ビーフ,ほろ酔いカレー-ビーフ-1,加工食品,,,832,published,,48,,2,c664ec86-ほろ酔いカレー-ビーフ-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e5491a4-d274-420d-a40b-39363d39f0a3,お肉屋がつくった　牛骨ラーメン（乾麺）,お肉屋がつくった-牛骨ラーメン-乾麺-1,加工食品,,,500,published,,49,https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/1e5491a4-d274-420d-a40b-39363d39f0a3/1778429310775-q0orpk.jpeg,2,c664ec86-お肉屋がつくった-牛骨ラーメン-乾麺-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20bbcb67-6fc5-4001-9833-b484de425328,よこすか海軍カレー,よこすか海軍カレー-1,加工食品,,,485,published,,50,https://lh3.googleusercontent.com/d/1Xf1wRzr791phCpRM3MtHaV_wkWjLcMt4=w1600,2,c664ec86-よこすか海軍カレー-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a7a3a38f-5258-4939-834f-f5d830c2ecea,ほぐし飯の素　富士の介,ほぐし飯の素-富士の介-1,加工食品,,,1370,published,,51,,2,c664ec86-ほぐし飯の素-富士の介-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8dd7efd7-3c52-4bda-b7ad-1b8d2893196d,ほぐし飯の素　鯛,ほぐし飯の素-鯛-1,加工食品,,,1278,published,,52,,2,c664ec86-ほぐし飯の素-鯛-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38c6d2cb-c912-4395-a0ce-7a53cb50193c,ほぐし飯の素　山賊焼き,ほぐし飯の素-山賊焼き-1,加工食品,,,1111,published,,53,,2,c664ec86-ほぐし飯の素-山賊焼き-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9a24346f-5b30-41c9-95ce-6ca7dac69c68,ほぐし飯の素　富士桜ポークスペアリブ,ほぐし飯の素-富士桜ポークスペアリブ-1,加工食品,,,1111,published,,54,,2,c664ec86-ほぐし飯の素-富士桜ポークスペアリブ-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bb0e7868-692c-4f7e-a4d2-835d3e72db8f,ほぐし飯の素　信玄どり手羽元,ほぐし飯の素-信玄どり手羽元-1,加工食品,,,1111,published,,55,,2,c664ec86-ほぐし飯の素-信玄どり手羽元-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3f44137a-b5bc-42cf-ab27-c2ffc6b66b01,ほぐし飯の素　さばめし,ほぐし飯の素-さばめし-1,加工食品,,,1111,published,,56,,2,c664ec86-ほぐし飯の素-さばめし-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968ed4ea-9b4f-473f-ac7e-005703e40771,ほぐし飯の素　ヤマメめし,ほぐし飯の素-ヤマメめし-1,加工食品,,,1278,published,,57,,2,c664ec86-ほぐし飯の素-ヤマメめし-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767375db-5d64-4f6f-aedc-455b2434ebf5,ほぐし飯の素　鯵の開き（伊豆産）,ほぐし飯の素-鯵の開き-伊豆産-1,加工食品,,,1111,published,,58,,2,c664ec86-ほぐし飯の素-鯵の開き-伊豆産-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673ef107-1e09-4efa-82a9-3b25080017db,ほぐし飯の素　国産手羽元,ほぐし飯の素-国産手羽元-1,加工食品,,,832,published,,59,,2,c664ec86-ほぐし飯の素-国産手羽元-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b2bb57a-39d6-4c40-ac70-48929f043cc2,ほぐし飯の素　まぐろのカマ,ほぐし飯の素-まぐろのカマ-1,加工食品,,,1370,published,,60,,2,c664ec86-ほぐし飯の素-まぐろのカマ-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
994cd73b-1010-4303-a1bf-c3c73e0c07d3,横須賀海自カレー 試験艦あすかカレー,横須賀海自カレー-試験艦あすかカレー-1,加工食品,,,600,published,,61,https://lh3.googleusercontent.com/d/1L2Hr6DoOSBHWMumFqrobPZFx_GcXVwoI=w1600,2,c664ec86-横須賀海自カレー-試験艦あすかカレー-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d092f256-5819-4671-8788-0a6036282e8c,米沢牛 ビーフカレー,米沢牛-ビーフカレー-1,加工食品,,,1300,published,,62,https://lh3.googleusercontent.com/d/1Pa-sVTnrFoBukQrT6wWREn4Xm4VOMBcN=w1600;https://lh3.googleusercontent.com/d/1kLm2qyjIkySEHeKuga0wgnDbMah02n4s=w1600;https://lh3.googleusercontent.com/d/1V7s5AWk_E3NDLq24qfv6PcMhi2nmv6hH=w1600;https://lh3.googleusercontent.com/d/1lxvHnuzHh1j1Yk9cLY12K4-qIA3Vru83=w1600;https://lh3.googleusercontent.com/d/1wZBr5O-YIiBwPSbkx8_ffG8e-rQGycnn=w1600,2,c664ec86-米沢牛-ビーフカレー-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8ae7b88c-53dd-4fc9-ad1e-aba04ed43c2c,ほろ酔いカレー　チキン,ほろ酔いカレー-チキン-1,加工食品,,,832,published,,63,,2,c664ec86-ほろ酔いカレー-チキン-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9cf32095-a9ee-4882-8804-4f4cb86a7ce7,山形県産黒毛和牛　牛しぐれ煮,山形県産黒毛和牛-牛しぐれ煮-1,加工食品,,,1300,published,,64,https://lh3.googleusercontent.com/d/1CcmagjZDaqiCPn6gu98FyGUdOdeXQ5Sl=w1600;https://lh3.googleusercontent.com/d/1DJLkUwUwptQ8ZUH05TxmWvoWKvpHcW0g=w1600;https://lh3.googleusercontent.com/d/19d93zyCMX8u6nyg3isjKoCKMhVZa25ni=w1600,2,c664ec86-山形県産黒毛和牛-牛しぐれ煮-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6554ab8-4e22-4877-b16c-567cb4c557b7,山形県産黒毛和牛極旨牛すき丼の素,山形県産黒毛和牛極旨牛すき丼の素-1,加工食品,,,650,published,,65,https://lh3.googleusercontent.com/d/13CELFJrJo8A59HsdOhFC3I0m-NAWv8B4=w1600;https://lh3.googleusercontent.com/d/1J8Ifx6iFu9NVl5nOdpwGGZ4TFBES4xe3=w1600;https://lh3.googleusercontent.com/d/1bd_XD9Zftr7gu-sIulWxkPfDIPwEnpR5=w1600;https://lh3.googleusercontent.com/d/1HFooue9HmQHiEbdApu1UvvYkYeDEjEI0=w1600;https://lh3.googleusercontent.com/d/1ihroPf-Y4jUFg0PuodJm44ZHHEZbbWn6=w1600,2,c664ec86-山形県産黒毛和牛極旨牛すき丼の素-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
